Data;Descrição;Valor;;Banco;;Tipo de Despesa;;Mês;Ano;Dia;Grupo de Dias;Gasto Excessivo
17/02/2023;roupa 4/5;R$ 59,00;MODA;Bradesco;A vista;Fixa;Willian;fevereiro;2023;sexta-feira;Final de Semana;Acima da Média
17/02/2023;Uber *Uber;R$ 5,97;TRANSPORTE;Nubank;Crédito;Variável;Willian;fevereiro;2023;sexta-feira;Final de Semana;Dentro da Média
17/02/2023;Uber *Uber;R$ 16,96;TRANSPORTE;Nubank;Crédito;Variável;Willian;fevereiro;2023;sexta-feira;Final de Semana;Dentro da Média
17/02/2023;Uber *Uber;R$ 3,00;TRANSPORTE;Nubank;Crédito;Variável;Willian;fevereiro;2023;sexta-feira;Final de Semana;Dentro da Média
18/02/2023;Roupa niver 01/05;R$ 25,00;MODA;Bradesco;A vista;Fixa;Willian;fevereiro;2023;sábado;Final de Semana;Dentro da Média
19/02/2023;Uber *Uber;R$ 13,91;TRANSPORTE;Nubank;Crédito;Variável;Willian;fevereiro;2023;domingo;Final de Semana;Dentro da Média
21/02/2023;Uber *Uber;R$ 16,95;TRANSPORTE;Nubank;Crédito;Variável;Willian;fevereiro;2023;terça-feira;Dias Úteis;Dentro da Média
23/02/2023;Pag*Hardfitness;R$ 85,00;ACADEMIA;Nubank;Crédito;Fixa;Willian;fevereiro;2023;quinta-feira;Dias Úteis;Acima da Média
24/02/2023;Ec*Nivel;R$ 14,99;ASSINATURAS;Nubank;Crédito;Fixa;Willian;fevereiro;2023;sexta-feira;Final de Semana;Dentro da Média
25/02/2023;P.Imperial;R$ 6,09;ALIMENTACAO;Nubank;Crédito;Variável;Willian;fevereiro;2023;sábado;Final de Semana;Dentro da Média
25/02/2023;Uber *Uber;R$ 13,02;TRANSPORTE;Nubank;Crédito;Variável;Willian;fevereiro;2023;sábado;Final de Semana;Dentro da Média
28/02/2023;Iranilson Jose;R$ 63,00;ACADEMIA;Nubank;Crédito;Fixa;Mallu;fevereiro;2023;terça-feira;Dias Úteis;Acima da Média
28/02/2023;Uber *Uber;R$ 5,97;TRANSPORTE;Nubank;Crédito;Variável;Willian;fevereiro;2023;terça-feira;Dias Úteis;Dentro da Média
28/02/2023;Uber *Uber;R$ 14,97;TRANSPORTE;Nubank;Crédito;Variável;Willian;fevereiro;2023;terça-feira;Dias Úteis;Dentro da Média
28/02/2023;Uber *Uber;R$ 12,91;TRANSPORTE;Nubank;Crédito;Variável;Willian;fevereiro;2023;terça-feira;Dias Úteis;Dentro da Média
01/03/2023;Uber *Uber;R$ 10,93;TRANSPORTE;Nubank;Crédito;Variável;Willian;março;2023;quarta-feira;Dias Úteis;Dentro da Média
05/03/2023;tim;R$ 53,10;TELEFONE;Bradesco;A vista;Fixa;Willian;março;2023;domingo;Final de Semana;Acima da Média
06/03/2023;Apple.Com;R$ 3,50;ASSINATURAS;Nubank;Crédito;Fixa;Willian;março;2023;segunda-feira;Dias Úteis;Dentro da Média
06/03/2023;luz;R$ 116,00;LUZ;Bradesco;A vista;Fixa;Mãe;março;2023;segunda-feira;Dias Úteis;Acima da Média
07/03/2023;internet;R$ 100,00;INTERNET;Bradesco;A vista;Fixa;Mãe;março;2023;terça-feira;Dias Úteis;Acima da Média
08/03/2023;academia;R$ 85,00;ACADEMIA;Bradesco;A vista;Fixa;Willian;março;2023;quarta-feira;Dias Úteis;Acima da Média
09/03/2023;spotify;R$ 5,80;ASSINATURAS;Bradesco;A vista;Fixa;Willian;março;2023;quinta-feira;Dias Úteis;Dentro da Média
10/03/2023;emprestimo bnb 10/10;R$ 257,91;EMPRESTIMO;Bradesco;A vista;Fixa;Willian;março;2023;sexta-feira;Final de Semana;Acima da Média
11/03/2023;Smith 02/12;R$ 29,90;EDUCAÇÃO;Bradesco;A vista;Fixa;Willian;março;2023;sábado;Final de Semana;Acima da Média
12/03/2023;panela 3/3;R$ 25,00;COMPRAS;Bradesco;A vista;Fixa;Mãe;março;2023;domingo;Final de Semana;Dentro da Média
13/03/2023;Mercadolivre*Skinadac;R$ 5,27;ALIMENTACAO;Nubank;Crédito;Variável;Willian;março;2023;segunda-feira;Dias Úteis;Dentro da Média
